id,supermarket,name,price,reference_price,reference_unit
1077128,dia-es,Tomate corazón de buey unidad (270 gr aprox.),0.78,2.89,€/Kg.
1077129,dia-es,AGROPIGEN tomate ensalada bio bandeja (1 Kg aprox.),3.29,3.29,€/Kg.
1077130,dia-es,Tomate de la huerta unidad (230 gr aprox.),0.62,2.69,€/Kg.
1077131,dia-es,Tomate cherry pera bandeja 250 gr,1.0,4.0,€/Kg.
1077132,dia-es,Tomate cherry redondo línea sabor bandeja 250 gr,1.0,4.0,€/Kg.
1077133,dia-es,Tomate cherry kumato bandeja 250 gr,1.19,4.76,€/Kg.
1077134,dia-es,Tomate kumato unidad (190 gr aprox.),0.45,2.39,€/Kg.
1077135,dia-es,VIBS tomate rallado natural tarrina 250 gr,1.25,4.49,€/Kg.
1077136,dia-es,Tomate otello unidad (230 gr aprox.),0.62,2.69,€/Kg.
1077137,dia-es,Zanahoria bolsa 1 Kg,0.49,0.49,€/Kg.
1077138,dia-es,Yuca (500 gr aprox.),1.08,2.15,€/Kg.
1077139,dia-es,Zanahoria tierna bandeja 500gr,0.99,1.98,€/Kg.
1077140,dia-es,Zanahoria bio bandeja 600 gr,1.49,2.48,€/Kg.
1077141,dia-es,Zanahoria baby bolsa 125 gr,0.99,7.92,€/Kg.
1077142,dia-es,Albahaca 20 gr,0.99,49.5,€/Kg.
1077143,dia-es,Cilantro 20 gr,0.99,49.5,€/Kg.
1077144,dia-es,Hierbabuena 20 gr,0.99,49.5,€/Kg.
1077153,dia-es,Corazón de escarola bolsa 150 gr,1.29,8.6,€/Kg.
1077154,dia-es,DIA ensalada selección 5 brotes bolsa 100 gr,1.29,12.9,€/Kg.
1077155,dia-es,FLORETTE pasta + rúcula 320 gr,2.79,8.72,€/Kg.
1077156,dia-es,PRIMAFLOR ensalada campestre bolsa 250 gr,1.39,5.56,€/Kg.
1077157,dia-es,PRIMAFLOR ensalada romana bolsa 200 gr,1.09,5.45,€/Kg.
1077158,dia-es,DIQUESÍ ensalada ilustrada con atún tarrina 220 gr,2.79,12.68,€/Kg.
1077159,dia-es,PRIMAFLOR enrollados de pollo tarrina 300 gr,2.99,9.97,€/Kg.
1077160,dia-es,DIA ensalada 4 estaciones bolsa 250 gr,0.49,1.96,€/Kg.
1077161,dia-es,DIA ensalada gourmet bolsa 175 gr,0.99,5.66,€/Kg.
1077162,dia-es,DIA ensalada variada bolsa 200 gr,0.99,4.95,€/Kg.
1077163,dia-es,DIA canónigos bolsa 100 gr,0.99,9.9,€/Kg.
1077164,dia-es,DIA lechuga iceberg bolsa 200 gr,0.89,4.45,€/Kg.
1077165,dia-es,DIA ensalada de brotes tiernos 70 gr,0.99,14.14,€/Kg.
1077166,dia-es,FLORETTE ensalada cesar con pollo y queso tarrina 200 gr,2.79,13.61,€/Kg.
1077167,dia-es,Ensalada mixta bandeja 400 gr,1.99,4.98,€/Kg.
1077168,dia-es,Croutones cesar tarrina 70 gr,0.99,14.14,€/Kg.
1077169,dia-es,FLORETTE ensalada mixta bolsa 150 gr,1.35,9.0,€/Kg.
1077170,dia-es,FLORETTE ensalada antiox bolsa 100 gr,1.59,15.9,€/Kg.
1077171,dia-es,DIQUESI ensalada manhattan con bacon y salsa de mostaza con miel tarrina 215 gr,2.89,13.44,€/Kg.
1077172,dia-es,DIA rúcula bolsa 50 gr,0.95,19.0,€/Kg.
1077173,dia-es,FLORETTE ensalada completa pasta integral tarrina 285 gr,2.89,10.14,€/Kg.
1077174,dia-es,DIQUESI ensalada lorena con queso de cabra y mostaza con miel tarrina 145 gr,2.89,19.93,€/Kg.
1077175,dia-es,DIA ensalada mezclum bolsa 150 gr,1.29,8.6,€/Kg.
1077176,dia-es,FLORETTE ensalada tierna bolsa 85 gr,1.75,20.59,€/Kg.
1077177,dia-es,Apio bolsa 500 gr,0.99,1.98,€/Kg.
1077178,dia-es,Berenjena unidad (560 gr aprox.),0.95,1.69,€/Kg.
1077179,dia-es,Perejil manojo 50 gr,0.69,13.8,€/Kg.
1077180,dia-es,DIA bacon en lonchas sobre 200 gr,1.85,9.25,€/Kg.
1077181,dia-es,CASA TARRADELLAS cintas de bacon envase 2x100 gr,1.75,8.75,€/Kg.
1077182,dia-es,DIA tiras de bacon envase 2 x 100 gr,1.55,7.75,€/Kg.
1077183,dia-es,OSCAR MAYER bacon en lonchas envase 150 gr,1.99,13.27,€/Kg.
1077184,dia-es,ELPOZO bacon en lonchas sobre 90 gr,1.0,11.11,€/Kg.
1077185,dia-es,TRONCO BRETAN bacon taco 300 gr,2.29,7.63,€/Kg.
1077186,dia-es,PAVOFRÍO fiambre de pechuga de pavo mini envase 380 gr,3.45,9.08,€/Kg.
1077187,dia-es,DIA pechuga de pavo en lonchas sobre 200 gr,1.49,7.45,€/Kg.
1077188,dia-es,DIA fiambre de pechuga de pavo pieza 400 gr,2.19,5.48,€/Kg.
1077189,dia-es,ELPOZO Bienstar pechuga de pollo 0% M.G. pieza 340 gr,2.99,8.79,€/Kg.
1077190,dia-es,CAMPOFRÍO Finissimas pechuga de pavo sobre 115 gr,1.85,16.09,€/Kg.
1077191,dia-es,ELPOZO Bienstar pechuga de pavo 0% M.G. pieza 340 gr,2.99,8.79,€/Kg.
1077192,dia-es,ELPOZO Bienstar pechuga de pavo en lonchas sobre 85 gr,1.0,11.76,€/Kg.
1077193,dia-es,DIA salchichón de pavo en lonchas sobre 150 gr,1.89,12.6,€/Kg.
1077194,dia-es,DIA chorizo de pavo en lonchas sobre 150 gr,1.89,12.6,€/Kg.
1077195,dia-es,CAMPOFRÍO Finissimas pechuga de pavo braseado en lonchas sobre 115 gr,1.85,16.09,€/Kg.
1077196,dia-es,MONELLS fiambre de pechuga de pavo en finas lonchas sobre 230 gr,2.0,8.7,€/Kg.
1077197,dia-es,PAVOFRÍO fiambre de pechuga de pavo braseada envase 80 gr,1.0,12.5,€/Kg.
1077198,dia-es,ARGAL Bonnatur pechuga de pavo en finas lonchas sobre 130 gr,2.19,16.85,€/Kg.
1077199,dia-es,ELPOZO pechuga de pavo en lonchas sobre 200 gr,1.99,9.95,€/Kg.
1077200,dia-es,ELPOZO mortadela de pavo en lonchas sobre 225 gr,1.75,7.78,€/Kg.
1077201,dia-es,DIA fiambre de pavo maxi pieza 900 gr,2.0,2.22,€/Kg.
1077202,dia-es,DIA pechuga de pavo finas lonchas sobre 2 x 100 gr,1.48,7.4,€/Kg.
1077203,dia-es,PAVOFRÍO fiambre de pechuga de pavo en lonchas sobre 80 gr,1.0,12.5,€/Kg.
1077204,dia-es,DIA fiambre de pechuga de pavo en finas lonchas sobre 300 gr,2.0,6.67,€/Kg.
1077205,dia-es,ELPOZO pechuga de pavo en lonchas finas sobre 85 gr,1.0,11.76,€/Kg.
