id,supermarket,name,price,reference_price,reference_unit
248988,mercadona-es,Dorada limpia con cabeza,3.27,6.95,kg
248989,mercadona-es,Dorada abierta a la espalda con espinas y con cabeza,3.27,6.95,kg
248990,mercadona-es,Dorada a filetes sin cabeza y sin espina,3.27,6.95,kg
248991,mercadona-es,Dorada abierta en libro sin cabeza y sin espina,3.27,6.95,kg
248992,mercadona-es,Dorada sin limpiar,3.27,6.95,kg
248993,mercadona-es,Lubina limpia con cabeza,2.92,6.95,kg
248994,mercadona-es,Lubina abierta a la espalda con espinas y con cabeza,2.92,6.95,kg
248995,mercadona-es,Lubina a filetes sin cabeza y sin espina,2.92,6.95,kg
248996,mercadona-es,Lubina abierta en libro sin cabeza y sin espina,2.92,6.95,kg
248997,mercadona-es,Lubina sin limpiar,2.92,6.95,kg
248998,mercadona-es,Trucha abierta en libro con cabeza,3.05,6.5,kg
248999,mercadona-es,Trucha abierta en libro sin cabeza y sin espina,3.05,6.5,kg
249000,mercadona-es,Trucha sin aletas,3.05,6.5,kg
249001,mercadona-es,Bacalao a rodajas,13.58,7.5,kg
249002,mercadona-es,Bacalao media pieza a rodajas,7.58,7.5,kg
249003,mercadona-es,Bacalao abierto en libro sin cabeza y sin espina,13.58,7.5,kg
249004,mercadona-es,Bacalao media pieza abierto en libro sin cabeza y sin espina,7.58,7.5,kg
249005,mercadona-es,Salmón a rodajas,25.33,8.95,kg
249006,mercadona-es,Salmón media pieza a rodajas,13.43,8.95,kg
249007,mercadona-es,Salmón abierto en libro sin cabeza y sin espina,25.33,8.95,kg
249008,mercadona-es,Salmón media pieza abierto en libro sin cabeza y sin espina,13.43,8.95,kg
249009,mercadona-es,Salmón sin aletas y sin escamas,25.33,8.95,kg
249010,mercadona-es,Salmón media pieza sin aletas y sin escamas,13.43,8.95,kg
249011,mercadona-es,Rape a rodajas,15.42,9.95,kg
249012,mercadona-es,Rape abierto en libro sin espina,15.42,9.95,kg
249013,mercadona-es,Rape sin piel y sin cabeza,15.42,9.95,kg
249014,mercadona-es,Rape sin aletas y sin dientes,15.42,9.95,kg
249015,mercadona-es,"Rodaballo con piel, sin aletas y sin agallas",10.55,9.95,kg
249016,mercadona-es,Rodaballo a filetes,10.55,9.95,kg
249017,mercadona-es,Rodaballo a filetes y sin piel,10.55,9.95,kg
249018,mercadona-es,Gambón grande congelado,886.05,8.95,kg
249019,mercadona-es,Gambón congelado,17.9,8.95,kg
249020,mercadona-es,Langostino cocido,985.05,9.95,kg
249021,mercadona-es,Langostino cocido Pescanova ultracongelado,9.75,9.75,kg
249022,mercadona-es,Preparado de paella y sopa Hacendado ultracongelado,4.14,6.04,kg
249023,mercadona-es,Alistado pequeño congelado,1282.05,12.95,kg
249024,mercadona-es,Alistado pequeño Hacendado congelado,12.95,12.95,kg
249025,mercadona-es,Preparado paella de marisco Hacendado ultracongelado,3.9,7.65,kg
249026,mercadona-es,Alistado mediano congelado,2470.05,24.95,kg
249027,mercadona-es,Alistado mediano Hacendado congelado,24.95,24.95,kg
249028,mercadona-es,Langostino crudo ultracongelado,940.5,9.5,kg
249029,mercadona-es,Langostino crudo Pescanova ultracongelado,9.25,9.25,kg
249030,mercadona-es,Colas de gambón peladas Hacendado ultracongeladas,5.5,22.0,kg
249031,mercadona-es,Gamba arrocera congelada,1183.05,11.95,kg
249032,mercadona-es,Gamba arrocera Hacendado congelada,11.95,11.95,kg
249033,mercadona-es,Gamba pelada cruda tamaño mediano Hacendado ultracongelada,4.5,12.5,kg
249034,mercadona-es,Camarón boreal cocido y pelado Royal Greenland ultracongelado,3.95,19.75,kg
249035,mercadona-es,Gamba blanca cocida Hacendado ultracongelada,5.3,15.14,kg
249036,mercadona-es,Langostino cocido y pelado Pescanova ultracongelado,3.65,18.25,kg
